"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","apple.com","6,358,656","100"
"2","www.google.com","14,021,406","100"
"3","youtube.com","22,100,239","100"
"4","support.google.com","5,229,708","99"
"5","microsoft.com","5,129,922","99"
"6","www.blogger.com","29,250,552","99"
"7","linkedin.com","11,552,215","99"
"8","play.google.com","3,762,570","99"
"9","mozilla.org","2,326,785","98"
"10","docs.google.com","3,187,439","98"
"11","cloudflare.com","6,200,123","98"
"12","maps.google.com","5,630,443","98"
"13","youtu.be","5,016,442","98"
"14","wordpress.org","11,674,313","98"
"15","en.wikipedia.org","6,877,781","98"
"16","accounts.google.com","2,556,913","97"
"17","sites.google.com","2,155,560","97"
"18","adobe.com","2,854,373","97"
"19","whatsapp.com","3,346,881","97"
"20","plus.google.com","11,357,812","97"
"21","googleusercontent.com","3,166,076","97"
"22","europa.eu","2,139,340","97"
"23","drive.google.com","2,345,361","97"
"24","istockphoto.com","3,548,364","96"
"25","es.wikipedia.org","950,151","96"
"26","t.me","1,075,455","96"
"27","bp.blogspot.com","17,595,883","96"
"28","vk.com","1,760,643","96"
"29","amazon.com","4,896,729","96"
"30","facebook.com","57,973,878","96"
"31","feedburner.com","1,795,130","96"
"32","uol.com.br","682,413","96"
"33","vimeo.com","3,520,954","96"
"34","github.com","2,727,334","96"
"35","dropbox.com","1,090,516","95"
"36","search.google.com","1,351,412","95"
"37","www.yahoo.com","1,336,567","95"
"38","medium.com","1,683,663","95"
"39","bbc.com","902,142","95"
"40","cnn.com","1,617,306","95"
"41","wikimedia.org","1,995,240","95"
"42","who.int","1,993,862","95"
"43","mail.ru","486,132","95"
"44","line.me","841,929","95"
"45","news.google.com","777,066","95"
"46","jimdofree.com","1,717,901","95"
"47","nytimes.com","2,167,101","95"
"48","dan.com","3,500,995","95"
"49","files.wordpress.com","7,623,325","95"
"50","developers.google.com","1,094,827","95"
"51","google.de","1,127,269","95"
"52","google.com.br","295,402","95"
"53","w3.org","1,137,668","95"
"54","gravatar.com","12,209,937","95"
"55","myspace.com","1,383,623","95"
"56","globo.com","446,829","95"
